지역,속도
"('인천광역시', '미추홀구')",17.259047619047617
"('인천광역시', '부평구')",16.737272727272725
"('인천광역시', '서구')",18.012105263157896
"('인천광역시', '연수구')",17.58076923076923
"('인천광역시', '옹진군')",20.0
"('인천광역시', '중구')",18.809166666666666
"('전라남도', '강진군')",33.667272727272724
"('전라남도', '고흥군')",29.4525
"('전라남도', '곡성군')",37.53727272727273
"('전라남도', '광양시')",24.977499999999996
"('전라남도', '구례군')",30.036250000000003
"('전라남도', '나주시')",25.901
"('전라남도', '담양군')",32.11000000000001
"('전라남도', '목포시')",17.91
"('전라남도', '무안군')",27.12777777777778
"('전라남도', '보성군')",37.2275
"('전라남도', '순천시')",25.991666666666664
"('전라남도', '신안군')",28.97375
"('전라남도', '여수시')",21.13153846153846
"('전라남도', '영광군')",28.023000000000003
"('전라남도', '영암군')",27.66
"('전라남도', '완도군')",28.046000000000003
"('전라남도', '장성군')",27.014545454545452
"('전라남도', '장흥군')",32.83200000000001
"('전라남도', '진도군')",30.146666666666665
"('전라남도', '함평군')",30.43444444444445
"('전라남도', '해남군')",29.812142857142856
"('전라남도', '화순군')",30.467272727272725
"('전라북도', '고창군')",29.709285714285716
"('전라북도', '군산시')",24.395185185185188
"('전라북도', '김제시')",28.18578947368421
"('전라북도', '남원시')",29.426956521739136
"('전라북도', '무주군')",34.495
"('전라북도', '부안군')",29.425833333333333
"('전라북도', '순창군')",32.36636363636364
"('전라북도', '완주군')",33.19846153846154
"('전라북도', '익산시')",22.718620689655175
"('전라북도', '임실군')",33.91333333333333
"('전라북도', '장수군')",36.43285714285714
"('전라북도', '전주시 덕진구')",19.088666666666665
"('전라북도', '전주시 완산구')",17.503157894736844
"('전라북도', '정읍시')",26.669565217391302
"('전라북도', '진안군')",39.89363636363637
"('제주특별자치도', '서귀포시')",22.807647058823527
"('제주특별자치도', '제주시')",20.374166666666667
"('충청남도', '계룡시')",19.7
"('충청남도', '공주시')",29.624375
"('충청남도', '금산군')",29.482
"('충청남도', '논산시')",26.284666666666666
"('충청남도', '당진시')",25.518571428571427
"('충청남도', '보령시')",28.88875
"('충청남도', '부여군')",31.484375
"('충청남도', '서산시')",23.693333333333335
"('충청남도', '서천군')",28.80461538461538
"('충청남도', '아산시')",24.054117647058824
"('충청남도', '예산군')",29.02
"('충청남도', '천안시 동남구')",22.577058823529416
"('충청남도', '천안시 서북구')",19.436153846153847
"('충청남도', '청양군')",31.663
"('충청남도', '태안군')",23.18375
"('충청남도', '홍성군')",24.816363636363636
"('충청북도', '괴산군')",31.826363636363638
"('충청북도', '단양군')",32.5775
"('충청북도', '보은군')",33.66
"('충청북도', '영동군')",33.094545454545454
"('충청북도', '옥천군')",31.67555555555556
"('충청북도', '음성군')",26.204444444444444
"('충청북도', '제천시')",24.85529411764706
"('충청북도', '증평군')",23.205
"('충청북도', '진천군')",25.78
"('충청북도', '청주시 상당구')",21.879230769230766
"('충청북도', '청주시 서원구')",19.917272727272724
"('충청북도', '청주시 청원구')",21.63125
"('충청북도', '청주시 흥덕구')",20.133636363636366
"('충청북도', '충주시')",24.247600000000002
